TABLE NO.  2
 ID             ,SID            ,KA             ,CL             ,V              ,ETA1           ,ETA2           ,ETA3           ,ETA4           ,ETA5           ,ETA6
  1.00000000E+00, 1.00000000E+00, 7.92685435E-01, 5.38866343E-03, 3.13038566E-02,-6.65623788E-03,-4.44305033E-02,-1.05328004E-01,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  2.00000000E+00, 1.00000000E+00, 8.00247783E-01, 5.45231194E-03, 3.67575670E-02, 2.83870443E-03,-3.26881583E-02, 5.52748010E-02,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  3.00000000E+00, 1.00000000E+00, 7.73767166E-01, 6.48649730E-03, 4.24580682E-02,-3.08116949E-02, 1.40994792E-01, 1.99447649E-01,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  4.00000000E+00, 1.00000000E+00, 7.98873440E-01, 5.74054002E-03, 3.52652270E-02, 1.11983159E-03, 1.88253996E-02, 1.38280998E-02,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  5.00000000E+00, 1.00000000E+00, 7.62015725E-01, 5.66686224E-03, 3.56429282E-02,-4.61155122E-02, 5.90768163E-03, 2.44814496E-02,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  6.00000000E+00, 1.00000000E+00, 8.04037890E-01, 5.43082607E-03, 3.97917037E-02, 7.56369097E-03,-3.66366326E-02, 1.34589132E-01,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  7.00000000E+00, 1.00000000E+00, 8.11409394E-01, 5.13113230E-03, 3.44842019E-02, 1.66900250E-02,-9.34015305E-02,-8.56800606E-03,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  8.00000000E+00, 1.00000000E+00, 8.03170240E-01, 6.43701656E-03, 3.74503554E-02, 6.48399293E-03, 1.33337280E-01, 7.39468897E-02,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  9.00000000E+00, 1.00000000E+00, 7.09247566E-01, 5.99982559E-03, 4.29925864E-02,-1.17878062E-01, 6.30025139E-02, 2.11958384E-01,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
  1.00000000E+01, 1.00000000E+00, 8.01654681E-01, 5.34519638E-03, 3.80328463E-02, 4.59523892E-03,-5.25296010E-02, 8.93808538E-02,-4.05565089E-01, 1.33871158E-01,-2.76591642E-01
