TABLE NO.     6: MCMC Bayesian Analysis: Goal Function=AVERAGE VALUE OF LIKELIHOOD FUNCTION: Problem=1 Subproblem=0 Superproblem1=0 Iteration1=0 Superproblem2=0 Iteration2=0
 ITERATION    THETA1       THETA2       THETA3       THETA4       THETA5       SIGMA(1,1)   OMEGA(1,1)   OMEGA(2,1)   OMEGA(2,2)   OMEGA(3,1)   OMEGA(3,2)   OMEGA(3,3)   MCMCOBJ
        -2974  2.94079E+00  2.90817E+01  1.10555E+01 -4.68192E-01  7.79366E-02  2.31018E-02  8.26067E-02  4.28056E-03  9.03109E-02  3.42954E-02  3.52461E-02  8.07457E-02    5799.7299935419624
        -2973  2.95958E+00  2.93371E+01  1.14587E+01 -5.03737E-01  7.35931E-02  2.37160E-02  8.22498E-02  5.25140E-03  8.71134E-02  4.07295E-02  3.64233E-02  8.23293E-02    5748.1868125049405
        -2972  2.93784E+00  2.93552E+01  1.11226E+01 -5.62326E-01  8.27084E-02  2.22183E-02  7.06035E-02  3.89361E-04  8.00620E-02  3.74491E-02  3.33966E-02  8.95990E-02    5774.7943933954066
        -2971  2.91908E+00  2.93854E+01  1.11644E+01 -5.99600E-01  8.55095E-02  2.32967E-02  7.27915E-02  6.86139E-03  8.24555E-02  4.49548E-02  3.58744E-02  9.08465E-02    5841.3201229780843
        -2970  2.94726E+00  2.86045E+01  1.11269E+01 -7.46726E-01  8.56966E-02  2.28058E-02  9.58433E-02  9.03989E-03  7.84679E-02  5.02284E-02  2.81811E-02  8.75253E-02    5796.8194637401402
        -2969  2.94726E+00  2.81892E+01  1.11269E+01 -7.98694E-01  8.56966E-02  2.26652E-02  8.66796E-02  7.20770E-03  8.28550E-02  3.60456E-02  3.25762E-02  8.57532E-02    5831.9952091170671
        -2968  2.97417E+00  2.81892E+01  1.10300E+01 -7.74371E-01  8.56966E-02  2.30499E-02  9.49951E-02  5.29900E-03  7.82078E-02  3.56562E-02  2.65478E-02  8.92717E-02    5836.0619982535227
        -2967  3.04828E+00  2.93706E+01  1.15135E+01 -7.62568E-01  8.75591E-02  2.33522E-02  8.66535E-02  1.16796E-02  8.18783E-02  3.03020E-02  3.46464E-02  8.87000E-02    5844.6768863801999
        -2966  3.11722E+00  2.99222E+01  1.16903E+01 -7.12346E-01  8.43695E-02  2.37461E-02  8.26243E-02  1.53886E-02  8.48352E-02  3.38606E-02  3.87212E-02  9.34397E-02    5877.0561249494494
        -2965  3.11722E+00  2.99222E+01  1.16903E+01 -7.02271E-01  8.85185E-02  2.36167E-02  9.44696E-02  8.89292E-03  7.92077E-02  3.66971E-02  3.56499E-02  8.69519E-02    5791.0470934855884
        -2964  3.11722E+00  2.99222E+01  1.16903E+01 -5.98020E-01  8.85185E-02  2.37907E-02  9.73478E-02  1.61458E-02  6.40456E-02  4.09238E-02  2.54301E-02  8.67084E-02    5828.1169519747455
        -2963  3.06703E+00  3.05107E+01  1.15693E+01 -5.86056E-01  8.82274E-02  2.35525E-02  8.52318E-02  8.37845E-03  7.00511E-02  3.13641E-02  2.91214E-02  8.38064E-02    5822.6028574665806
        -2962  3.06214E+00  3.05107E+01  1.15693E+01 -6.75378E-01  8.35879E-02  2.23568E-02  7.98833E-02  2.55539E-03  8.39349E-02  3.11751E-02  3.63816E-02  9.36032E-02    5798.0494810555183
        -2961  3.06214E+00  3.07591E+01  1.15693E+01 -6.75378E-01  8.42986E-02  2.30092E-02  1.06996E-01  1.87169E-03  9.30208E-02  3.53162E-02  3.25637E-02  8.44446E-02    5719.1158831059975
        -2960  3.02998E+00  2.98157E+01  1.18027E+01 -6.15409E-01  8.60419E-02  2.12269E-02  1.07916E-01  2.13512E-03  7.68058E-02  2.89320E-02  3.30701E-02  9.54365E-02    5667.8790557887851
        -2959  3.02998E+00  2.95206E+01  1.16923E+01 -7.85508E-01  8.42644E-02  2.06597E-02  1.07157E-01  1.18226E-02  7.80072E-02  3.55857E-02  2.85684E-02  9.00275E-02    5728.0724592120323
        -2958  3.09309E+00  3.04878E+01  1.15591E+01 -7.86979E-01  8.15850E-02  2.19659E-02  9.62087E-02  1.58302E-03  9.18515E-02  3.21083E-02  3.09821E-02  8.44664E-02    5803.9365011866821
        -2957  3.06719E+00  3.04406E+01  1.14724E+01 -7.49528E-01  8.73306E-02  2.35182E-02  8.27227E-02  9.31711E-03  6.70783E-02  3.25015E-02  2.65083E-02  8.79012E-02    5771.8499440267005
        -2956  2.93652E+00  2.97265E+01  1.16450E+01 -7.86161E-01  8.87896E-02  2.17897E-02  9.89520E-02  1.40835E-02  7.07151E-02  4.29994E-02  2.56702E-02  7.90100E-02    5749.4583674527539
        -2955  3.13745E+00  2.92603E+01  1.13043E+01 -7.70671E-01  9.27526E-02  2.17714E-02  9.18704E-02  5.18574E-05  8.66456E-02  3.43104E-02  3.89936E-02  8.84750E-02    5785.5134662115061
        -2954  3.06895E+00  2.86302E+01  1.12956E+01 -7.23488E-01  8.83198E-02  2.26738E-02  1.14519E-01  4.29885E-03  6.96991E-02  4.34450E-02  2.69450E-02  9.43152E-02    5845.4180279391503
        -2953  3.06895E+00  2.86302E+01  1.12956E+01 -7.23488E-01  8.42163E-02  2.30543E-02  9.32040E-02 -3.80279E-03  7.90444E-02  3.16098E-02  2.32230E-02  7.42618E-02    5843.0222097082478
        -2952  3.14195E+00  2.86302E+01  1.13500E+01 -7.23488E-01  8.17404E-02  2.34676E-02  8.51717E-02  9.08084E-03  9.16955E-02  3.16462E-02  3.78856E-02  7.77763E-02    5890.5137210835237
        -2951  3.20956E+00  3.02088E+01  1.16270E+01 -7.39442E-01  8.25991E-02  2.22416E-02  7.35692E-02  5.82143E-03  7.96773E-02  3.19977E-02  3.49771E-02  8.70975E-02    5735.7720991528995
        -2950  3.21140E+00  3.01633E+01  1.16234E+01 -6.73085E-01  8.35172E-02  2.34440E-02  7.28503E-02  2.09129E-03  6.68315E-02  3.29269E-02  2.71940E-02  8.71887E-02    5840.8921889782077
        -2949  3.14208E+00  2.99392E+01  1.17307E+01 -5.31031E-01  7.31434E-02  2.36770E-02  7.67392E-02  6.81223E-03  6.72529E-02  4.33778E-02  2.83503E-02  8.54007E-02    5738.1597366704773
        -2948  3.14294E+00  2.99450E+01  1.17209E+01 -5.38559E-01  7.40623E-02  2.28035E-02  7.65492E-02  9.43819E-03  7.40165E-02  4.23759E-02  2.30914E-02  8.50621E-02    5822.2462680432945
        -2947  3.14049E+00  2.97763E+01  1.16482E+01 -6.10206E-01  7.41158E-02  2.34012E-02  8.01668E-02  8.19984E-03  7.46302E-02  3.38239E-02  3.60334E-02  8.51548E-02    5784.3831049934270
        -2946  3.10249E+00  2.98906E+01  1.15558E+01 -6.32411E-01  7.44603E-02  2.20519E-02  7.62355E-02  1.60688E-02  1.05733E-01  3.53688E-02  3.92037E-02  8.37807E-02    5786.2716670055415
        -2945  3.10117E+00  2.98955E+01  1.15023E+01 -5.54120E-01  7.43064E-02  2.24289E-02  9.97255E-02  2.24028E-02  8.43603E-02  5.13993E-02  4.63692E-02  9.93875E-02    5783.7975217877693
  -1000000000  3.05492E+00  2.95609E+01  1.14219E+01 -6.54174E-01  8.09758E-02  2.27302E-02  9.16893E-02  5.45388E-03  7.75778E-02  3.65753E-02  3.08557E-02  8.57051E-02    5787.5855968627002
  -1000000001  7.43414E-02  5.71659E-01  2.21738E-01  8.83909E-02  6.33799E-03  6.72897E-04  1.11514E-02  6.12738E-03  8.15358E-03  5.76747E-03  5.36462E-03  6.83668E-03    46.530345574256820
  -1000000002  1.62066E-01  2.02955E-01  3.05941E-01  3.60025E-01  5.51250E-01  6.62579E-01  7.30192E-01  1.15405E+00  1.55787E+00  1.78578E+00  1.89404E+00  2.63325E+00    0.0000000000000000
  -1000000003  1.62480E+01  1.62066E-01  2.63325E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.00000E+00    0.0000000000000000
